Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:46.587,187052272,intervention,52651133,sustain low,12651133,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.688,188061695,intervention,53660556,sustain low,13660556,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.790,189066690,intervention,54665551,sustain low,14665551,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.891,190086221,intervention,55685082,sustain low,15685082,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.992,191095794,intervention,56694655,sustain low,16694655,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.093,192104962,intervention,57703823,sustain low,17703823,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.194,193114622,intervention,58713483,sustain low,18713483,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.294,194124021,intervention,59722882,sustain low,19722882,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.395,195133452,intervention,60732313,sustain low,20732313,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.496,196132640,intervention,61731501,sustain low,21731501,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.597,197152272,intervention,62751133,sustain low,22751133,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.698,198161483,intervention,63760344,sustain low,23760344,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.799,199171265,intervention,64770126,sustain low,24770126,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:47.900,200179964,intervention,65778825,sustain low,25778825,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.003,201209551,intervention,66808412,sustain low,26808412,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.104,202216343,intervention,67815204,sustain low,27815204,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.208,203245755,intervention,68844616,sustain low,28844616,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:48.305,204225195,intervention,69824056,sustain low,29824056,0,1,36.3,0,Q1,0,0,10.19004,
