Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:41:50.926,636845533109263693,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.932,636845533109323442,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.937,636845533109373670,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.943,636845533109433632,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.949,636845533109493605,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.955,636845533109553536,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.961,636845533109613528,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.967,636845533109673443,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.973,636845533109733422,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.979,636845533109793428,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.985,636845533109853343,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.991,636845533109913307,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:50.997,636845533109973068,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.002,636845533110023313,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.008,636845533110083250,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.014,636845533110142973,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.020,636845533110202930,Preparation,0.9960557,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.026,636845533110262899,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.031,636845533110313084,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.037,636845533110373109,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.043,636845533110433045,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.049,636845533110492990,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.054,636845533110542990,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.060,636845533110602967,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.066,636845533110662894,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.072,636845533110722862,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.077,636845533110772955,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.083,636845533110832575,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.089,636845533110892756,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.095,636845533110952756,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.101,636845533111012700,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.107,636845533111072660,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.113,636845533111132404,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.118,636845533111182632,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.123,636845533111233356,Preparation,1.096998,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.129,636845533111293362,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.135,636845533111353329,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.141,636845533111413337,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.147,636845533111473046,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.152,636845533111523282,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.158,636845533111582983,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.163,636845533111633174,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
31/01/2019 17:41:51.169,636845533111693145,Preparation,1.199023,0,0,none,0,999,999,999,999,PE,PE,999,10,none,
